State,EV,Kerry,Bush,Nader
Alabama,9,37,63,0
Alaska,3,34,62,2
Arizona,10,44,55,1
Arkansas,6,45,54,1
California,55,54,45,0
Colorado,9,46,53,1
Connecticut,7,54,44,1
Delaware,3,53,46,1
D.C.,3,90,9,1
Florida,27,47,52,1
Georgia,15,41,59,0
Hawaii,4,55,44,1
Idaho,4,29,69,0
Illinois,21,55,44,1
Indiana,11,39,60,0
Iowa,7,49,50,1
Kansas,6,36,63,1
Kentucky,8,40,60,0
Louisiana,9,42,57,0
Maine,4,53,45,1
Maryland,10,56,43,1
Massachusetts,12,62,37,0
Michigan,17,51,48,1
Minnesota,10,52,47,1
Mississippi,6,40,60,0
Missouri,11,46,54,0
Montana,3,39,59,1
Nebraska,5,32,67,0
Nevada,5,48,51,1
New Hampshire,4,50,49,1
New Jersey,15,53,46,1
New Mexico,5,49,50,1
New York,31,58,40,2
North Carolina,15,43,57,0
North Dakota,3,36,63,1
Ohio,20,49,51,0
Oklahoma,7,34,66,0
Oregon,7,53,47,0
Pennsylvania,21,51,49,0
Rhode Island,4,60,39,1
South Carolina,8,41,58,1
South Dakota,3,38,61,1
Tennessee,11,43,57,0
Texas,34,38,61,0
Utah,5,26,72,1
Vermont,3,59,39,2
Virginia,13,46,54,0
Washington,11,53,46,1
West Virginia,5,43,56,1
Wisconsin,10,50,49,1
Wyoming,3,29,69,1
